PG.ProteinGroups;PG.Genes;[1] MEP_mBM_500c_40.raw.PG.Quantity;[2] MEP_mBM_500c_41.raw.PG.Quantity;[3] MEP_mBM_500c_42.raw.PG.Quantity;[4] MEP_mBM_500c_43.raw.PG.Quantity
"O54824;O54824-2";Il16;1693,5052490234375;5271,01708984375;2728,107666015625;1732,195068359375
O54825;Bysl;NaN;12040,80859375;12868,919921875;10997,033203125
O54833;Csnk2a2;NaN;1041,229736328125;1927,6844482421875;2641,237060546875
O54879;Hmgb3;2677,20263671875;11445,6806640625;5769,0625;23406,142578125
O54941;Smarce1;NaN;3378,534423828125;2710,153076171875;4028,380126953125
"O54946;O54946-2;Q9QYI5;Q9QYI5-1;Q9QYI5-2";"Dnajb6;Dnajb6;Dnajb2;Dnajb2;Dnajb2";NaN;1566,2791748046875;987,91552734375;680,8526611328125
O54962;Banf1;4128,95849609375;56003,91015625;69741,75;62444,875
O54984;Asna1;3807,43212890625;2193,78759765625;1582,742431640625;2672,6650390625
"O54988;O54988-2";Slk;12360,4580078125;4586,14599609375;2260,373779296875;3479,814453125
O55013;Trappc3;1121,4185791015625;1202,010986328125;829,4308471679688;NaN
O55022;Pgrmc1;NaN;NaN;5333,9990234375;4529,974609375
O55023;Impa1;23899,712890625;10253,9013671875;7074,45361328125;7815,3193359375
O55029;Copb2;73781,7265625;8593,037109375;13183,8056640625;11948,734375
"O55042;O55042-2";Snca;3019,12939453125;11114,8515625;7442,72900390625;6421,98876953125
O55057;Pde6d;418,70721435546875;139,88282775878906;NaN;215,41537475585938
O55098;Stk10;NaN;8418,716796875;2665,9482421875;1826,1173095703125
"O55100;O55100-2";Syngr1;4754,6357421875;NaN;421,13604736328125;92,27019500732422
O55106;Strn;9978,3125;5597,73095703125;2633,258544921875;821,384765625
"O55123;P28862";"Mmp10;Mmp3";27822,994140625;NaN;NaN;NaN
O55126;Nipsnap2;NaN;NaN;2097,0146484375;1985,8314208984375
O55131;Sept7;14903,6962890625;20090,634765625;12256,8271484375;15129,177734375
"O55137;Q9QYR9";"Acot1;Acot2";NaN;3986,263671875;2688,64111328125;3107,777587890625
O55142;Rpl35a;NaN;31337,388671875;16116,5810546875;41563,8046875
"O55143;O55143-2";Atp2a2;18419,12890625;11460,529296875;8964,5859375;8939,96484375
"O55201;O55201-2";Supt5h;619,4085693359375;1450,303955078125;1027,0355224609375;1415,6282958984375
O55226;Chad;4307,3466796875;3593,2578125;47027,390625;84805,3515625
O55234;Psmb5;59370,140625;12549,8798828125;13430,5634765625;9431,3046875
"O70133;O70133-2";Dhx9;3480,679931640625;17760,2265625;14283,0595703125;23673,552734375
O70138;Mmp8;NaN;5440,1474609375;3593,05419921875;2042,0101318359375
O70145;Ncf2;NaN;3626,172607421875;2337,100341796875;1254,48974609375
O70152;Dpm1;5144,09619140625;888,3662109375;3485,15087890625;1191,65234375
"O70172;Q80XI4";"Pip4k2a;Pip4k2b";868,9553833007812;107,18474578857422;4299,4833984375;5518,36474609375
O70194;Eif3d;167451,546875;87048,921875;32080,765625;74496,40625
O70250;Pgam2;3129,6162109375;NaN;3477,107666015625;2111,8642578125
O70251;Eef1b;23196,384765625;57701,9296875;32734,5078125;64846,17578125
O70252;Hmox2;6395,046875;NaN;6862,53955078125;5614,6005859375
O70310;Nmt1;NaN;NaN;966,0048217773438;3357,23779296875
"O70325;O70325-2";Gpx4;NaN;7997,9296875;5777,08447265625;6371,7021484375
O70370;Ctss;1890,0762939453125;NaN;2968,03466796875;2711,143310546875
O70378;Emc8;4,046361446380615;0,005514141637831926;NaN;NaN
O70400;Pdlim1;10624,0302734375;16208,580078125;14485,1533203125;19780,501953125
O70435;Psma3;47923,8203125;37171,3203125;38641,51171875;44807,328125
O70439;Stx7;78342,328125;4724,17333984375;2106,825927734375;NaN
O70456;Sfn;271903,65625;53300,9765625;118474,0078125;88285,9375
O70475;Ugdh;940,0814819335938;NaN;NaN;NaN
O70492;Snx3;2289,76123046875;5794,46875;6010,2939453125;6161,35546875
O70493;Snx12;918,8516235351562;2903,388427734375;2266,853515625;2630,83837890625
O70582;Alox12b;1620,52490234375;518,0371704101562;578,9700927734375;NaN
"O70589;O70589-2;O70589-3;O70589-4;O70589-5";Cask;1371,808349609375;NaN;NaN;NaN
O70591;Pfdn2;3173,14404296875;5038,2978515625;4452,7939453125;7366,8134765625
"O70622;O70622-2";Rtn2;NaN;NaN;6863,6279296875;231,63104248046875
O88207;Col5a1;NaN;NaN;3827,33154296875;2034,6871337890625
O88307;Sorl1;348,0888366699219;NaN;NaN;NaN
O88312;Agr2;16658,591796875;NaN;NaN;NaN
O88322;Nid2;NaN;NaN;NaN;46970,65625
O88342;Wdr1;138302,59375;45514,8828125;30738,173828125;16666,412109375
