PG.ProteinGroups,PG.Genes,[1] MEP_mBM_500c_40.raw.PG.Quantity,[2] MEP_mBM_500c_41.raw.PG.Quantity,[3] MEP_mBM_500c_42.raw.PG.Quantity,[4] MEP_mBM_500c_43.raw.PG.Quantity
O54984,Asna1,"380,743,212,890,625","219,378,759,765,625","1,582,742,431,640,620","26,726,650,390,625"
O54988;O54988-2,Slk,"123,604,580,078,125","458,614,599,609,375","2,260,373,779,296,870","3,479,814,453,125"
O55013,Trappc3,"11,214,185,791,015,600","1,202,010,986,328,120","8,294,308,471,679,680",NaN
O55022,Pgrmc1,NaN,NaN,"53,339,990,234,375","4,529,974,609,375"
O55023,Impa1,"23,899,712,890,625","102,539,013,671,875","707,445,361,328,125","78,153,193,359,375"
O55029,Copb2,"737,817,265,625","8,593,037,109,375","131,838,056,640,625","11,948,734,375"
O55042;O55042-2,Snca,"301,912,939,453,125","111,148,515,625","744,272,900,390,625","642,198,876,953,125"
O55057,Pde6d,"41,870,721,435,546,800","13,988,282,775,878,900",NaN,"21,541,537,475,585,900"
O55098,Stk10,NaN,"8,418,716,796,875","26,659,482,421,875","18,261,173,095,703,100"
O55100;O55100-2,Syngr1,"47,546,357,421,875",NaN,"42,113,604,736,328,100","9,227,019,500,732,420"
O55106,Strn,"99,783,125","559,773,095,703,125","2,633,258,544,921,870","821,384,765,625"
O55123;P28862,Mmp10;Mmp3,"27,822,994,140,625",NaN,NaN,NaN
O55126,Nipsnap2,NaN,NaN,"20,970,146,484,375","19,858,314,208,984,300"
O55131,Sep/07,"149,036,962,890,625","20,090,634,765,625","122,568,271,484,375","15,129,177,734,375"
O55137;Q9QYR9,Acot1;Acot2,NaN,"3,986,263,671,875","268,864,111,328,125","3,107,777,587,890,620"
O55142,Rpl35a,NaN,"31,337,388,671,875","161,165,810,546,875","415,638,046,875"
O55143;O55143-2,Atp2a2,"1,841,912,890,625","11,460,529,296,875","89,645,859,375","893,996,484,375"
O55201;O55201-2,Supt5h,"6,194,085,693,359,370","1,450,303,955,078,120","10,270,355,224,609,300","14,156,282,958,984,300"
O55226,Chad,"43,073,466,796,875","35,932,578,125","47,027,390,625","848,053,515,625"
O55234,Psmb5,"59,370,140,625","125,498,798,828,125","134,305,634,765,625","94,313,046,875"
O70133;O70133-2,Dhx9,"3,480,679,931,640,620","177,602,265,625","142,830,595,703,125","23,673,552,734,375"
O70138,Mmp8,NaN,"54,401,474,609,375","359,305,419,921,875","20,420,101,318,359,300"
O70145,Ncf2,NaN,"3,626,172,607,421,870","2,337,100,341,796,870","125,448,974,609,375"
O70152,Dpm1,"514,409,619,140,625","8,883,662,109,375","348,515,087,890,625","119,165,234,375"
O70172;Q80XI4,Pip4k2a;Pip4k2b,"8,689,553,833,007,810","10,718,474,578,857,400","42,994,833,984,375","551,836,474,609,375"
O70194,Eif3d,"167,451,546,875","87,048,921,875","32,080,765,625","7,449,640,625"
O70250,Pgam2,"31,296,162,109,375",NaN,"3,477,107,666,015,620","21,118,642,578,125"
O70251,Eef1b,"23,196,384,765,625","577,019,296,875","327,345,078,125","6,484,617,578,125"
O70252,Hmox2,"6,395,046,875",NaN,"686,253,955,078,125","56,146,005,859,375"
O70310,Nmt1,NaN,NaN,"9,660,048,217,773,430","335,723,779,296,875"
O70325;O70325-2,Gpx4,NaN,"79,979,296,875","577,708,447,265,625","63,717,021,484,375"
O70370,Ctss,"18,900,762,939,453,100",NaN,"296,803,466,796,875","2,711,143,310,546,870"
O70378,Emc8,"4,046,361,446,380,610","0,005514141637831926",NaN,NaN
O70400,Pdlim1,"106,240,302,734,375","16,208,580,078,125","144,851,533,203,125","19,780,501,953,125"
O70435,Psma3,"479,238,203,125","371,713,203,125","3,864,151,171,875","44,807,328,125"
O70439,Stx7,"78,342,328,125","472,417,333,984,375","2,106,825,927,734,370",NaN
O70456,Sfn,"27,190,365,625","533,009,765,625","1,184,740,078,125","882,859,375"
O70475,Ugdh,"9,400,814,819,335,930",NaN,NaN,NaN
O70492,Snx3,"228,976,123,046,875","579,446,875","60,102,939,453,125","616,135,546,875"
O70493,Snx12,"9,188,516,235,351,560","2,903,388,427,734,370","2,266,853,515,625","263,083,837,890,625"
O70582,Alox12b,"162,052,490,234,375","5,180,371,704,101,560","5,789,700,927,734,370",NaN
O70589;O70589-2;O70589-3;O70589-4;O70589-5,Cask,"1,371,808,349,609,370",NaN,NaN,NaN
O70591,Pfdn2,"317,314,404,296,875","50,382,978,515,625","44,527,939,453,125","73,668,134,765,625"
O70622;O70622-2,Rtn2,NaN,NaN,"68,636,279,296,875","23,163,104,248,046,800"
O88207,Col5a1,NaN,NaN,"382,733,154,296,875","20,346,871,337,890,600"
O88307,Sorl1,"3,480,888,366,699,210",NaN,NaN,NaN
O88312,Agr2,"16,658,591,796,875",NaN,NaN,NaN
O88322,Nid2,NaN,NaN,NaN,"4,697,065,625"
O88342,Wdr1,"13,830,259,375","455,148,828,125","30,738,173,828,125","16,666,412,109,375"
O88456,Capns1,"200,625,732,421,875",NaN,NaN,NaN
O88487,Dync1i2,"479,140,234,375","527,181,884,765,625","2,187,442,138,671,870","187,061,181,640,625"
O88543,Cops3,NaN,"314,444,775,390,625","411,882,373,046,875","52,070,791,015,625"
O88544,Cops4,NaN,NaN,"3,631,497,314,453,120","44,719,560,546,875"
O88569;O88569-2;O88569-3,Hnrnpa2b1,"12,044,284,375","29,594,321,875","208,757,953,125","234,411,625"
O88587;O88587-2,Comt,NaN,"213,667,631,149,292","9,377,424,621,582,030","2,895,167,236,328,120"
O88623;O88623-2;O88623-3;O88623-4,Usp2,"9,766,776,123,046,870",NaN,NaN,NaN
O88665,Brd7,NaN,"9,895,755,615,234,370","13,238,359,375","6,818,961,181,640,620"
O88685,Psmc3,"3,876,463,671,875","2,344,849,609,375","59,508,837,890,625","8,615,498,046,875"
O88712;O88712-2;O88712-3,Ctbp1,"176,959,619,140,625","521,158,056,640,625","48,449,208,984,375","603,143,798,828,125"
O88738;O88738-2;O88738-3,Birc6,NaN,NaN,NaN,"3,693,538,818,359,370"
O88746,Tom1,"1,566,666,796,875",NaN,NaN,NaN
O88783,F5,"802,796,328,125","147,511,884,765,625","41,999,921,875","17,847,960,205,078,100"
O88796,Rpp30,NaN,"18,891,544,189,453,100","7,290,953,369,140,620",NaN
O88844,Idh1,"669,684,453,125","26,079,556,640,625","135,042,470,703,125","102,619,189,453,125"
O88856,Tpst2,"10,814,967,041,015,600",NaN,"6,238,101,806,640,620",NaN
O88947,F10,NaN,NaN,NaN,"5,176,486,328,125"
O88952,Lin7c,"465,030,078,125","125,057,138,671,875","1,519,617,431,640,620",NaN
O88958,Gnpda1,"708,054,150,390,625","39,297,470,703,125","462,409,423,828,125","48,563,583,984,375"
O88967,Yme1l1,"6,894,246,826,171,870","20,386,251,220,703,100","242,789,892,578,125","2,106,419,921,875"
O88990,Actn3,NaN,"747,177,978,515,625","115,529,359,375","432,467,138,671,875"
O89001,Cpd,"86,774,169,921,875","103,059,208,984,375",NaN,NaN
O89023,Tpp1,"2,453,339,453,125","251,914,990,234,375","7,154,530,029,296,870","7,290,232,543,945,310"
O89029,Matn4,"101,397,236,328,125",NaN,NaN,"9,838,619,384,765,620"
O89053,Coro1a,"20,232,291,015,625","89,456,515,625","45,463,421,875","273,017,421,875"
O89079,Cope,NaN,"3,232,334,716,796,870","418,539,111,328,125","574,562,744,140,625"
O89086,Rbm3,NaN,"55,373,134,765,625","4,969,794,921,875","703,432,568,359,375"
O89110,Casp8,NaN,"2,514,992,919,921,870","11,709,066,162,109,300","11,400,509,033,203,100"
O89112,Lancl1,"707,033,349,609,375",NaN,"246,459,130,859,375","4,760,353,515,625"
P00329,Adh1,"1,437,615,234,375",NaN,NaN,NaN
